/home/akshay/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:107: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 9010). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
global_step=1000, episodic_return=[-372.74503]
global_step=2000, episodic_return=[-509.72278]
SPS: 1225
global_step=3000, episodic_return=[-348.44135]
global_step=4000, episodic_return=[-351.49133]
SPS: 1131
global_step=5000, episodic_return=[-281.4245]
global_step=6000, episodic_return=[-412.40906]
SPS: 1175
global_step=7000, episodic_return=[-343.44736]
global_step=8000, episodic_return=[-266.79462]
SPS: 1190
global_step=9000, episodic_return=[-431.67014]
global_step=10000, episodic_return=[-326.9224]
SPS: 1127
global_step=11000, episodic_return=[-326.3488]
global_step=12000, episodic_return=[-256.39746]
SPS: 1143
global_step=13000, episodic_return=[-319.51178]
global_step=14000, episodic_return=[-322.47708]
SPS: 1161
global_step=15000, episodic_return=[-208.70277]
global_step=16000, episodic_return=[-270.09708]
SPS: 1176
global_step=17000, episodic_return=[-353.34863]
global_step=18000, episodic_return=[-226.173]
SPS: 1156
global_step=19000, episodic_return=[-294.95374]
global_step=20000, episodic_return=[-315.95517]
SPS: 1168
global_step=21000, episodic_return=[-374.0663]
global_step=22000, episodic_return=[-229.70425]
SPS: 1179
global_step=23000, episodic_return=[-266.1786]
global_step=24000, episodic_return=[-249.51227]
SPS: 1187
global_step=25000, episodic_return=[-177.918]
global_step=26000, episodic_return=[-134.26114]
SPS: 1178
global_step=27000, episodic_return=[-256.4972]
global_step=28000, episodic_return=[-84.008575]
SPS: 1185
global_step=29000, episodic_return=[-160.7192]
global_step=30000, episodic_return=[-176.30672]
SPS: 1190
global_step=31000, episodic_return=[-143.88286]
global_step=32000, episodic_return=[-169.49988]
SPS: 1187
global_step=33000, episodic_return=[-116.112885]
global_step=34000, episodic_return=[-218.8313]
SPS: 1184
global_step=35000, episodic_return=[-13.852369]
global_step=36000, episodic_return=[-197.82167]
SPS: 1189
global_step=37000, episodic_return=[-238.82356]
global_step=38000, episodic_return=[-305.1641]
SPS: 1193
global_step=39000, episodic_return=[-220.88832]
global_step=40000, episodic_return=[-256.0391]
SPS: 1177
global_step=41000, episodic_return=[-215.32335]
global_step=42000, episodic_return=[-154.2764]
global_step=43000, episodic_return=[-160.66203]
SPS: 1181
global_step=44000, episodic_return=[-168.29971]
global_step=45000, episodic_return=[-118.75354]
SPS: 1184
global_step=46000, episodic_return=[41.07414]
global_step=47000, episodic_return=[-213.8079]
SPS: 1185
global_step=48000, episodic_return=[-125.09228]
global_step=49000, episodic_return=[-16.292015]
SPS: 1180
global_step=50000, episodic_return=[-125.77279]
global_step=51000, episodic_return=[-144.77187]
SPS: 1183
global_step=52000, episodic_return=[-164.64426]
global_step=53000, episodic_return=[-200.54834]
SPS: 1186
global_step=54000, episodic_return=[29.680407]
global_step=55000, episodic_return=[-213.46936]
SPS: 1189
global_step=56000, episodic_return=[-60.954266]
global_step=57000, episodic_return=[-22.495955]
SPS: 1183
global_step=58000, episodic_return=[-139.1206]
global_step=59000, episodic_return=[177.13763]
SPS: 1187
global_step=60000, episodic_return=[-96.42623]
global_step=61000, episodic_return=[-116.3664]
SPS: 1190
global_step=62000, episodic_return=[-200.88667]
global_step=63000, episodic_return=[18.691307]
SPS: 1192
global_step=64000, episodic_return=[30.45809]
global_step=65000, episodic_return=[-131.16771]
SPS: 1189
global_step=66000, episodic_return=[81.28437]
global_step=67000, episodic_return=[71.394356]
SPS: 1191
global_step=68000, episodic_return=[-9.066464]
global_step=69000, episodic_return=[12.948957]
SPS: 1194
global_step=70000, episodic_return=[-159.49791]
global_step=71000, episodic_return=[-171.44234]
SPS: 1184
global_step=72000, episodic_return=[-101.013245]
global_step=73000, episodic_return=[70.37542]
SPS: 1186
global_step=74000, episodic_return=[-10.621991]
global_step=75000, episodic_return=[-119.935715]
SPS: 1188
global_step=76000, episodic_return=[51.690376]
global_step=77000, episodic_return=[68.5868]
SPS: 1191
global_step=78000, episodic_return=[-199.32916]
global_step=79000, episodic_return=[7.4787264]
SPS: 1187
global_step=80000, episodic_return=[-84.12817]
global_step=81000, episodic_return=[-69.522255]
SPS: 1189
global_step=82000, episodic_return=[-389.15298]
global_step=83000, episodic_return=[49.35267]
SPS: 1191
global_step=84000, episodic_return=[-122.82862]
